,DCF,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,Ticker,MSFT,,Current Share Price,,402.69,,Conservative,223.76,,,,,,,,,,,,,,
,Year End,12/12/2023,,Implied Share Price,,455.80,,Base,327.32,,,,,,,,,,,,,,
,Year End,12/31/2023,,Downside,,13.19%,,Optimistic,455.80,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
x,Assumptions,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,Switches,,,,,,Conservative,,,,,,Base,,,,,,Optimistic,,,,
,Revenue,,,,,,Revenue,,,Year,Metric,,Revenue,,,Year,Metric,,Revenue,,,Year,Metric
,Productivity & Business,,,,3,,Productivity and Business Processes,,,2024,90%,,Productivity and Business Processes,,,,,,Productivity and Business Processes,,,2024,110.0%
,Intelligent Cloud,,,,3,,Productivity and Business Processes,,,2028,9%,,,,,,,,Productivity and Business Processes,,,2028,12.50%
,Personal Computing,,,,3,,Intell. Cloud,,,2024,90%,,,,,,,,Intell. Cloud,,,2024,110%
,,,,,,,Intell. Cloud,,,2028,14%,,Intell. Cloud,,,2028,17%,,Intell. Cloud,,,2028,19%
,EBIT,,,,,,More Personal Computing,,,2024,90%,,,,,,,,More Personal Computing,,,2024,110%
,Productivity & Business,,,,3,,More Personal Computing,,,2028,4%,,More Personal Computing,,,2028,6%,,More Personal Computing,,,2028,8%
,Intelligent Cloud,,,,3,,,,,,,,,,,,,,,,,,
,Personal Computing,,,,3,,EBIT,,,Year,Metric,,EBIT,,,Year,Metric,,EBIT,,,Year,Metric
,,,,,,,Productivity and Business Processes,,,2024-2028,-3%,,,,,,,,Productivity and Business Processes,,,2024-2028,3%
,Other Assumptions,,,,,,Intell. Cloud,,,2024-2028,-3%,,,,,,,,Intell. Cloud,,,2024-2028,3%
,Taxes,,,,3,,More Personal Computing,,,2024-2028,-3%,,,,,,,,More Personal Computing,,,,3%
,D&A,,,,3,,,,,,,,,,,,,,,,,,
,CapEx,,,,3,,,,,,,,,,,,,,,,,,
