,,,,,,,,,,,,,,,,,,,,,,,
"Stock Price (""Adjusted Close"" from Yahoo!Finance)",,,,,,,=(B5-B4)/B4,,,,,,Average 3-month T-bill Rate,,,,,,,,,,
Date,AAPL,DIS,F,MCD,,Holding Period Return,,,,,,Risk-free Rate,0.1566%,,,,,,,,,,
12/1/2018,37.66562271,106.1806183,5.748631477,154.432312,,Date,AAPL,DIS,F,MCD,,,,,,,,,,,,,
1/1/2019,39.74302673,108.8291092,6.612804413,155.4845428,,2019-01-01,5.52%,2.49%,15.03%,0.68%,,Summary Statistics,# of Obs = N,Expected return = R,Standard deviation,Sharpe ratio,,,,,,,
2/1/2019,41.34526825,110.1172562,6.705076218,159.8852844,,2019-02-01,4.03%,1.18%,1.40%,2.83%,,AAPL,60,3.11%,8.64%,0.3416,,,,,,,
3/1/2019,45.5513382,108.3509369,6.71271944,166.2070923,,2019-03-01,10.17%,-1.60%,0.11%,3.95%,,DIS,60,0.21%,10.18%,0.0049,,,,,,,
4/1/2019,48.12207031,133.6650085,7.98951149,172.9201965,,2019-04-01,5.64%,23.36%,19.02%,4.04%,,F,60,2.02%,13.24%,0.1406,,,,,,,
5/1/2019,41.98302078,128.8539734,7.395251274,173.5328522,,2019-05-01,-12.76%,-3.60%,-7.44%,0.35%,,MCD,60,1.20%,5.55%,0.1883,,,,,,,
6/1/2019,47.64537811,136.2705841,7.946786404,182.8157043,,2019-06-01,13.49%,5.76%,7.46%,5.35%,,,=COUNT(K5:K64),=AVERAGE(K5:K64),=STDEV.S(K5:K64),=(O9-$N$3)/P9,,,,,,,
7/1/2019,51.2852211,139.5592804,7.403019428,185.509613,,2019-07-01,7.64%,2.41%,-6.84%,1.47%,,,,,,,,,,,,,
8/1/2019,50.25008392,134.7775421,7.229685783,191.8921814,,2019-08-01,-2.02%,-3.43%,-2.34%,3.44%,,Portfolio Weight = W,,,,,,,,,,,
9/1/2019,54.12126541,127.9630508,7.221801281,190.0217133,,2019-09-01,7.70%,-5.06%,-0.11%,-0.97%,,AAPL,7.98%,,,,,,,,,,
10/1/2019,60.11164093,127.5703049,6.772410393,174.0825348,,2019-10-01,11.07%,-0.31%,-6.22%,-8.39%,,DIS,5.95%,,,,,,,,,,
11/1/2019,64.57967377,148.838562,7.260187149,172.1178284,,2019-11-01,7.43%,16.67%,7.20%,-1.13%,,F,-6.14%,,,,,,,,,,
12/1/2019,71.1721344,142.0142517,7.45250988,176.0087128,,2019-12-01,10.21%,-4.59%,2.65%,2.26%,,MCD,92.20%,,,,,,,,,,
